date,borough_id,room_typeid,price_x
1/1/2017,1,1,133.2857143
1/2/2017,1,1,109.0625
1/3/2017,1,1,96.26315789
1/4/2017,1,1,96.61904762
1/5/2017,1,1,92.14814815
1/6/2017,1,1,97.33333333
1/7/2017,1,1,100.1111111
1/8/2017,1,1,89.25925926
1/9/2017,1,1,89.06896552
1/10/2017,1,1,90.26666667
1/11/2017,1,1,89.06666667
1/12/2017,1,1,89.44827586
1/13/2017,1,1,102.75
1/14/2017,1,1,102.7857143
1/15/2017,1,1,90.35714286
1/16/2017,1,1,90.13793103
1/17/2017,1,1,89.29032258
1/18/2017,1,1,89.29032258
1/19/2017,1,1,89.29032258
1/20/2017,1,1,101.3548387
1/21/2017,1,1,101.516129
1/22/2017,1,1,89.3125
1/23/2017,1,1,89.15625
1/24/2017,1,1,89.5483871
1/25/2017,1,1,89.5483871
1/26/2017,1,1,90.7
1/27/2017,1,1,103.4482759
1/28/2017,1,1,103.6206897
1/29/2017,1,1,90.6
1/30/2017,1,1,94.625
1/31/2017,1,1,94.625
2/1/2017,1,1,94.48387097
2/2/2017,1,1,96.7
2/3/2017,1,1,109.1333333
2/4/2017,1,1,109.3666667
2/5/2017,1,1,104.7
2/6/2017,1,1,104.5333333
2/7/2017,1,1,103.9032258
2/8/2017,1,1,103.9032258
2/9/2017,1,1,103.9032258
2/10/2017,1,1,110.2903226
2/11/2017,1,1,111.3
2/12/2017,1,1,105.5862069
2/13/2017,1,1,105.4137931
2/14/2017,1,1,105.5517241
2/15/2017,1,1,105.5517241
2/16/2017,1,1,104.5333333
2/17/2017,1,1,111.1333333
2/18/2017,1,1,110.4516129
2/19/2017,1,1,104.0645161
2/20/2017,1,1,103.9032258
2/21/2017,1,1,103.9032258
2/22/2017,1,1,103.9032258
2/23/2017,1,1,103.9032258
2/24/2017,1,1,110.2903226
2/25/2017,1,1,110.4516129
2/26/2017,1,1,104.0645161
2/27/2017,1,1,103.9032258
2/28/2017,1,1,103.9032258
3/1/2017,1,1,105.3548387
3/2/2017,1,1,105.3548387
3/3/2017,1,1,111.7419355
3/4/2017,1,1,111.9032258
3/5/2017,1,1,105.516129
3/6/2017,1,1,105.3548387
3/7/2017,1,1,105.3548387
3/8/2017,1,1,105.3548387
3/9/2017,1,1,105.3548387
3/10/2017,1,1,112.4193548
3/11/2017,1,1,112.5806452
3/12/2017,1,1,105.516129
3/13/2017,1,1,105.3548387
3/14/2017,1,1,105.3870968
3/15/2017,1,1,105.3548387
3/16/2017,1,1,105.3548387
3/17/2017,1,1,113.3333333
3/18/2017,1,1,113.5
3/19/2017,1,1,106.2
3/20/2017,1,1,106.3666667
3/21/2017,1,1,106.4
3/22/2017,1,1,106.4
3/23/2017,1,1,106.4
3/24/2017,1,1,113.8333333
3/25/2017,1,1,114.6896552
3/26/2017,1,1,106.4
3/27/2017,1,1,106.4
3/28/2017,1,1,106.3666667
3/29/2017,1,1,106.3666667
3/30/2017,1,1,107.125
3/31/2017,1,1,113.6363636
4/1/2017,1,1,116.2758621
4/2/2017,1,1,105.6428571
4/3/2017,1,1,105.8888889
4/4/2017,1,1,105.8518519
4/5/2017,1,1,106.9259259
4/6/2017,1,1,107.037037
4/7/2017,1,1,116.2962963
4/8/2017,1,1,116.6296296
4/9/2017,1,1,109.56
4/10/2017,1,1,109.0769231
4/11/2017,1,1,110.4814815
4/12/2017,1,1,109.3214286
4/13/2017,1,1,109.5357143
4/14/2017,1,1,118.3214286
4/15/2017,1,1,119.2222222
4/16/2017,1,1,110.4814815
4/17/2017,1,1,110.1481481
4/18/2017,1,1,110.1785714
4/19/2017,1,1,109.1071429
4/20/2017,1,1,109.1071429
4/21/2017,1,1,116.9642857
4/22/2017,1,1,116.2068966
4/23/2017,1,1,106.4
4/24/2017,1,1,107.137931
4/25/2017,1,1,107.1724138
4/26/2017,1,1,107.7241379
4/27/2017,1,1,108.2758621
4/28/2017,1,1,116.1724138
4/29/2017,1,1,116.7241379
4/30/2017,1,1,109
5/1/2017,1,1,108.8275862
5/2/2017,1,1,108.7931034
5/3/2017,1,1,108.0333333
5/4/2017,1,1,108.1
5/5/2017,1,1,115.8333333
5/6/2017,1,1,118.3103448
5/7/2017,1,1,110.1724138
5/8/2017,1,1,110.0344828
5/9/2017,1,1,110
5/10/2017,1,1,110.0689655
5/11/2017,1,1,110.2758621
5/12/2017,1,1,118.2068966
5/13/2017,1,1,118.5172414
5/14/2017,1,1,106.7741935
5/15/2017,1,1,106.7419355
5/16/2017,1,1,107.8709677
5/17/2017,1,1,108.2666667
5/18/2017,1,1,108.4666667
5/19/2017,1,1,116.0333333
5/20/2017,1,1,115.6129032
5/21/2017,1,1,107.9354839
5/22/2017,1,1,107.8387097
5/23/2017,1,1,107.9354839
5/24/2017,1,1,108.2333333
5/25/2017,1,1,108.5
5/26/2017,1,1,116.1
5/27/2017,1,1,116.5
5/28/2017,1,1,108.5666667
5/29/2017,1,1,108.5
5/30/2017,1,1,108.3
5/31/2017,1,1,108.0645161
6/1/2017,1,1,108.8125
6/2/2017,1,1,115.3125
6/3/2017,1,1,115.5
6/4/2017,1,1,108.90625
6/5/2017,1,1,108.625
6/6/2017,1,1,108.6875
6/7/2017,1,1,108.6875
6/8/2017,1,1,108.96875
6/9/2017,1,1,115.28125
6/10/2017,1,1,115.53125
6/11/2017,1,1,108.84375
6/12/2017,1,1,108.78125
6/13/2017,1,1,108.75
6/14/2017,1,1,108.78125
6/15/2017,1,1,108.9375
6/16/2017,1,1,115.4375
6/17/2017,1,1,114.3333333
6/18/2017,1,1,108
6/19/2017,1,1,107.7575758
6/20/2017,1,1,107.7272727
6/21/2017,1,1,107.8181818
6/22/2017,1,1,107.7272727
6/23/2017,1,1,114.1818182
6/24/2017,1,1,114.5757576
6/25/2017,1,1,108.3939394
6/26/2017,1,1,108.6666667
6/27/2017,1,1,108.6969697
6/28/2017,1,1,108.6363636
6/29/2017,1,1,108.8484848
6/30/2017,1,1,116.0714286
7/1/2017,1,1,116.25
7/2/2017,1,1,110.5714286
7/3/2017,1,1,110.6428571
7/4/2017,1,1,110.7857143
7/5/2017,1,1,110.5
7/6/2017,1,1,110.4285714
7/7/2017,1,1,116.3571429
7/8/2017,1,1,116.3214286
7/9/2017,1,1,110.5714286
7/10/2017,1,1,109.1785714
7/11/2017,1,1,109.1428571
7/12/2017,1,1,109.1428571
7/13/2017,1,1,109.2142857
7/14/2017,1,1,116.3214286
7/15/2017,1,1,116.4642857
7/16/2017,1,1,110.75
7/17/2017,1,1,110.75
7/18/2017,1,1,109.4642857
7/19/2017,1,1,109.4285714
7/20/2017,1,1,109.2857143
7/21/2017,1,1,115.9642857
7/22/2017,1,1,115.9642857
7/23/2017,1,1,110.2857143
7/24/2017,1,1,110.3214286
7/25/2017,1,1,109.4285714
7/26/2017,1,1,109.5714286
7/27/2017,1,1,109.4642857
7/28/2017,1,1,116.6071429
7/29/2017,1,1,116.5714286
7/30/2017,1,1,110.8214286
7/31/2017,1,1,110.8214286
8/1/2017,1,1,109.3928571
8/2/2017,1,1,110.8148148
8/3/2017,1,1,110.6666667
8/4/2017,1,1,118.5555556
8/5/2017,1,1,118.5555556
8/6/2017,1,1,112.2592593
8/7/2017,1,1,112.3703704
8/8/2017,1,1,110.7777778
8/9/2017,1,1,110.8518519
8/10/2017,1,1,110.6666667
8/11/2017,1,1,117.0740741
8/12/2017,1,1,115.5714286
8/13/2017,1,1,109.4285714
8/14/2017,1,1,109.3928571
8/15/2017,1,1,108.0740741
8/16/2017,1,1,108
8/17/2017,1,1,107.962963
8/18/2017,1,1,114.4444444
8/19/2017,1,1,114.2962963
8/20/2017,1,1,109.1923077
8/21/2017,1,1,109.4615385
8/22/2017,1,1,110.88
8/23/2017,1,1,110.76
8/24/2017,1,1,110.96
8/25/2017,1,1,118
8/26/2017,1,1,117.88
8/27/2017,1,1,110.76
8/28/2017,1,1,110.92
8/29/2017,1,1,109.5
8/30/2017,1,1,109.4230769
8/31/2017,1,1,109.1923077
9/1/2017,1,1,116.0769231
9/2/2017,1,1,115.8461538
9/3/2017,1,1,109.4615385
9/4/2017,1,1,109.4230769
9/5/2017,1,1,109.1923077
9/6/2017,1,1,109.2307692
9/7/2017,1,1,109.1538462
9/8/2017,1,1,116.1153846
9/9/2017,1,1,115.8846154
9/10/2017,1,1,109.1923077
