,feature,importance
0,superhost,0.003060359679730181
1,host_listings_count,0.042034882886181776
2,neighbourhoodid,0.04128838834822526
3,borough_id,0.003808168582731751
4,latitude,0.16313650553071252
5,longitude,0.14009713819593372
6,room_typeid,0.019122315214415864
7,accommodates,0.07666142735060463
8,bathrooms,0.05976669529284483
9,bedrooms,0.0336008626919571
10,beds,0.046212836495871684
11,amenities_count,0.10439905831069202
12,minimum_nights,0.066705953643419
13,maximum_nights,0.043142391949232944
14,availability_365,0.05544858056952871
15,number_of_reviews,0.042759981849218975
16,review_scores_rating,0.04913394121377355
17,instant_bookable,0.009620512194925513
